loan_id,customer_id,loan_type,loan_amount,start_date,status
LOAN000001,CUST000001,housing,241289,2020-03-24,active
LOAN000002,CUST000002,housing,478363,2016-05-02,active
LOAN000003,CUST000003,housing,276282,2018-09-06,active
LOAN000004,CUST000003,personal,35756,2019-05-24,active
LOAN000005,CUST000004,housing,220874,2020-12-30,active
LOAN000006,CUST000006,housing,423443,2018-04-19,active
LOAN000007,CUST000007,housing,483392,2020-08-15,active
LOAN000008,CUST000007,personal,32533,2021-10-30,active
LOAN000009,CUST000008,housing,335912,2020-07-13,active
LOAN000010,CUST000009,housing,228593,2016-02-26,active
LOAN000011,CUST000010,housing,86843,2016-11-29,active
LOAN000012,CUST000011,housing,479785,2020-01-10,active
LOAN000013,CUST000012,housing,307852,2019-03-21,active
LOAN000014,CUST000013,housing,166789,2020-08-18,active
LOAN000015,CUST000014,housing,434190,2017-02-26,active
LOAN000016,CUST000015,housing,139142,2017-01-19,active
LOAN000017,CUST000016,housing,429628,2020-01-26,active
LOAN000018,CUST000017,housing,170719,2018-07-20,active
LOAN000019,CUST000018,housing,306094,2016-12-24,active
LOAN000020,CUST000019,housing,317119,2020-12-18,active
LOAN000021,CUST000020,housing,126773,2019-12-03,active
LOAN000022,CUST000021,housing,258021,2016-10-24,active
LOAN000023,CUST000021,personal,5529,2022-08-11,active
LOAN000024,CUST000022,housing,354718,2017-06-09,active
LOAN000025,CUST000023,housing,271087,2016-05-27,active
LOAN000026,CUST000023,personal,22178,2020-05-02,active
LOAN000027,CUST000024,housing,244370,2017-04-26,active
LOAN000028,CUST000025,housing,476275,2020-09-24,active
LOAN000029,CUST000025,personal,21454,2019-01-11,active
LOAN000030,CUST000026,housing,213154,2020-04-11,active
LOAN000031,CUST000027,housing,127469,2017-07-23,active
LOAN000032,CUST000028,housing,327025,2018-03-02,active
LOAN000033,CUST000028,personal,35322,2019-10-24,active
LOAN000034,CUST000029,housing,130520,2016-06-30,active
LOAN000035,CUST000030,housing,148996,2017-07-14,active
LOAN000036,CUST000030,personal,37797,2018-12-07,active
LOAN000037,CUST000031,personal,29954,2019-03-31,active
LOAN000038,CUST000032,housing,66250,2019-08-09,active
LOAN000039,CUST000033,housing,450817,2019-07-30,active
LOAN000040,CUST000033,personal,48218,2021-03-31,active
LOAN000041,CUST000034,housing,75526,2016-04-04,active
LOAN000042,CUST000035,housing,63519,2019-12-06,active
LOAN000043,CUST000036,housing,172644,2017-07-22,active
LOAN000044,CUST000037,housing,140093,2017-02-04,active
LOAN000045,CUST000039,housing,309981,2016-08-26,active
LOAN000046,CUST000040,housing,102135,2016-05-16,active
LOAN000047,CUST000041,housing,344488,2020-05-13,active
LOAN000048,CUST000042,housing,390436,2020-08-24,active
LOAN000049,CUST000043,housing,392301,2019-04-17,active
LOAN000050,CUST000044,housing,126386,2020-02-02,active
LOAN000051,CUST000045,housing,87087,2020-04-19,active
LOAN000052,CUST000046,housing,313369,2020-02-08,active
LOAN000053,CUST000047,housing,215233,2019-09-16,active
LOAN000054,CUST000048,housing,199709,2016-12-22,active
LOAN000055,CUST000050,housing,356776,2019-10-11,active
LOAN000056,CUST000051,housing,482236,2020-03-08,active
LOAN000057,CUST000052,housing,163255,2017-07-30,active
LOAN000058,CUST000053,housing,374533,2017-02-19,active
LOAN000059,CUST000054,housing,210996,2020-01-12,active
LOAN000060,CUST000055,housing,296412,2020-06-24,active
LOAN000061,CUST000055,personal,41881,2020-09-05,active
LOAN000062,CUST000056,personal,8094,2020-11-06,active
LOAN000063,CUST000057,housing,285267,2017-07-16,active
LOAN000064,CUST000058,housing,288388,2020-01-10,active
LOAN000065,CUST000059,housing,97132,2018-12-10,active
LOAN000066,CUST000060,housing,270761,2017-12-17,active
LOAN000067,CUST000061,housing,305484,2019-10-09,active
LOAN000068,CUST000062,housing,332118,2019-04-04,active
LOAN000069,CUST000063,housing,275822,2019-06-15,active
LOAN000070,CUST000064,housing,282552,2016-01-09,active
LOAN000071,CUST000065,housing,242309,2016-05-14,active
LOAN000072,CUST000066,housing,88473,2018-10-19,active
LOAN000073,CUST000068,housing,498772,2017-08-23,active
LOAN000074,CUST000069,housing,419347,2018-01-03,active
LOAN000075,CUST000070,housing,283767,2016-04-24,active
LOAN000076,CUST000070,personal,43244,2018-07-02,active
LOAN000077,CUST000071,housing,302062,2020-04-05,active
LOAN000078,CUST000071,personal,14068,2021-04-24,active
LOAN000079,CUST000072,housing,384588,2020-02-05,active
LOAN000080,CUST000072,personal,27667,2020-08-27,active
LOAN000081,CUST000073,housing,393978,2016-05-20,active
LOAN000082,CUST000073,personal,8251,2021-06-24,active
LOAN000083,CUST000074,housing,446823,2020-10-04,active
LOAN000084,CUST000075,housing,188426,2019-01-22,active
LOAN000085,CUST000076,housing,96314,2017-01-23,active
LOAN000086,CUST000077,personal,24277,2021-07-15,active
LOAN000087,CUST000079,housing,219852,2016-06-02,active
LOAN000088,CUST000079,personal,17056,2019-03-03,active
LOAN000089,CUST000080,housing,73651,2017-09-27,active
LOAN000090,CUST000081,housing,157487,2019-01-04,active
LOAN000091,CUST000083,housing,190405,2016-08-24,active
LOAN000092,CUST000084,housing,496209,2016-11-13,active
LOAN000093,CUST000085,housing,364545,2016-08-25,active
LOAN000094,CUST000085,personal,22451,2019-10-03,active
LOAN000095,CUST000086,housing,421988,2017-05-26,active
LOAN000096,CUST000088,housing,181285,2017-07-13,active
LOAN000097,CUST000089,housing,167196,2016-04-14,active
LOAN000098,CUST000089,personal,36792,2022-07-17,active
LOAN000099,CUST000090,housing,105435,2017-08-11,active
LOAN000100,CUST000092,housing,462757,2016-08-17,active
LOAN000101,CUST000092,personal,9472,2021-10-07,active
